id,name,sku,price,regular_price,sale_price,on_sale,in_stock,categories,permalink,image_url
10198,MINDRAY DP-10 Ultrasound Machine B/W System ,,380000.00,400000.00,380000.00,True,True,,https://alphasurgicals.co.ke/product/mindray-dp-10-ultrasound-machine-b-w-system/,https://alphasurgicals.co.ke/wp-content/uploads/2026/08/WhatsApp-Image-2026-08-06-at-12.33.49.jpeg
10107,100L Manual Autoclave,,280000.00,300000.00,280000.00,True,True,LABORATORY EQUIPMENT; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/100l-manual-autoclave/,https://alphasurgicals.co.ke/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-29-at-10.05.36.jpeg
9882,Urine Containers 45ml Kenya,,8.00,8.00,8.00,False,True,LABORATORY EQUIPMENT; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/urine-containers-45ml-kenya/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/IMG-20250704-WA0012-scaled.jpg
9881,Stool Containers 45ml Kenya,,8.00,8.00,8.00,False,True,LABORATORY EQUIPMENT; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/stool-containers-45ml-kenya/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/IMG-20250708-WA00221-scaled.jpg
9875,Stool Containers 60ml Kenya,,12.00,12.00,12.00,False,True,LABORATORY EQUIPMENT; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/stool-containers-60ml-kenya/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/IMG-20250704-WA0012-scaled.jpg
9871,Electrocardiograph (ECG) 6 Channel,,110000.00,110000.00,110000.00,False,True,LABORATORY EQUIPMENT; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/electrocardiograph-ecg-6-channel/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/digital-6-channel-ecg-machine52420851909.webp
9867,Crutch Tips,,200.00,200.00,200.00,False,True,CRUTCHES &amp; WALKING AIDS; WALKING FRAMES,https://alphasurgicals.co.ke/product/crutch-tips/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/s-l1600.webp
9862,Electric Patient Transfer Chair,,75000.00,75000.00,75000.00,False,True,HOME CARE EQUIPMENT; WHEELCHAIRS,https://alphasurgicals.co.ke/product/electric-patient-transfer-chair/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/2306-202312041642329406.webp
9855,Commode Chair with Wheels,,8000.00,8000.00,8000.00,False,True,HOME CARE EQUIPMENT; MEDICAL EQUIPMENT; NOVEMBER BLACK FRIDAY 2025; WHEELCHAIRS,https://alphasurgicals.co.ke/product/commode-chair-with-wheels/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/1_2nmu-4o.jpg
9849,Oxygen Concentrator Kenya 10 Litres Duo Flow,,100000.00,100000.00,100000.00,False,True,MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/oxygen-concentrator-kenya-10-litres-duo-flow/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/H8af09cb7d9e44896bdf8f8660d7b1444r-min-1.webp
